slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.009,0.019,0.095
1,101,0.001,0.004,0.117
1,102,0.001,0.003,0.118
1,103,0.004,0.01,0.105
1,104,0.003,0.007,0.109
1,105,0.002,0.006,0.112
1,106,0.002,0.006,0.112
1,107,0.005,0.011,0.104
1,108,0.003,0.008,0.109
1,109,0.001,0.003,0.121
1,110,0.002,0.005,0.115
1,111,0.004,0.009,0.108
1,112,0.002,0.004,0.118
1,113,0.002,0.006,0.114
1,114,0.002,0.005,0.117
1,115,0.001,0.002,0.128
1,116,0.001,0.003,0.123
1,117,0.001,0.002,0.127
1,118,0.002,0.005,0.119
1,119,0.002,0.004,0.121
1,120,0.001,0.002,0.129
1,121,0.0,0.001,0.135
1,122,0.001,0.003,0.125
1,123,0.001,0.002,0.129
1,124,0.001,0.002,0.13
1,125,0.001,0.003,0.126
1,126,0.001,0.002,0.133
1,127,0.0,0.001,0.14
1,128,0.0,0.001,0.145
1,129,0.0,0.001,0.14
1,130,0.0,0.001,0.14
1,131,0.0,0.001,0.14
1,132,0.0,0.001,0.141
1,133,0.0,0.001,0.147
1,134,0.0,0.001,0.147
1,135,0.0,0.0,0.157
1,136,0.0,0.0,0.154
1,137,0.0,0.001,0.143
1,138,0.0,0.001,0.144
1,139,0.0,0.0,0.155
1,140,0.0,0.0,0.154
1,141,0.0,0.0,0.156
1,142,0.0,0.0,0.16
1,143,0.0,0.0,0.167
1,144,0.0,0.0,0.16
1,145,0.0,0.0,0.161
1,146,0.0,0.0,0.17
1,147,0.0,0.0,0.17
1,148,0.0,0.0,0.179
1,149,0.0,0.0,0.171
1,150,0.0,0.0,0.178
1,151,0.0,0.0,0.186
1,152,0.0,0.0,0.182
1,153,0.0,0.0,0.174
1,154,0.0,0.0,0.183
1,155,0.0,0.0,0.179
1,156,0.0,0.0,0.171
1,157,0.0,0.0,0.177
1,158,0.0,0.0,0.171
1,159,0.0,0.0,0.179
1,160,0.0,0.0,0.177
1,161,0.0,0.0,0.176
1,162,0.0,0.0,0.175
1,163,0.0,0.0,0.177
1,164,0.0,0.0,0.179
1,165,0.0,0.0,0.17
1,166,0.0,0.0,0.174
1,167,0.0,0.0,0.164
1,168,0.0,0.001,0.161
1,169,0.001,0.002,0.149
1,170,0.0,0.0,0.167
1,171,0.0,0.0,0.182
1,172,0.0,0.0,0.184
1,173,0.0,0.0,0.17
1,174,0.0,0.001,0.161
1,175,0.001,0.002,0.153
1,176,0.001,0.002,0.15
1,177,0.001,0.002,0.152
1,178,0.001,0.004,0.143
1,179,0.001,0.003,0.149
1,180,0.001,0.003,0.148
1,181,0.002,0.005,0.14
1,182,0.002,0.006,0.14
1,183,0.004,0.009,0.133
1,184,0.003,0.008,0.136
1,185,0.005,0.011,0.132
1,186,0.004,0.01,0.134
1,187,0.006,0.014,0.129
1,188,0.004,0.008,0.138
1,189,0.005,0.011,0.135
1,190,0.007,0.015,0.129
1,191,0.008,0.017,0.128
1,192,0.005,0.012,0.135
1,193,0.01,0.02,0.126
1,194,0.008,0.018,0.129
1,195,0.006,0.013,0.135
1,196,0.006,0.012,0.137
1,197,0.006,0.014,0.135
1,198,0.005,0.011,0.141
1,199,0.007,0.015,0.135
1,200,0.004,0.01,0.143
1,201,0.005,0.011,0.142
1,202,0.005,0.012,0.142
1,203,0.005,0.011,0.143
1,204,0.003,0.007,0.152
1,205,0.003,0.008,0.152
1,206,0.002,0.006,0.157
1,207,0.003,0.007,0.153
1,208,0.003,0.008,0.152
1,209,0.001,0.004,0.167
1,210,0.002,0.005,0.161
1,211,0.002,0.005,0.163
1,212,0.002,0.005,0.164
1,213,0.001,0.002,0.181
1,214,0.001,0.003,0.176
1,215,0.001,0.004,0.171
1,216,0.001,0.002,0.18
1,217,0.001,0.002,0.186
1,218,0.0,0.001,0.19
1,219,0.001,0.003,0.178
1,220,0.001,0.002,0.182
1,221,0.001,0.003,0.175
1,222,0.001,0.003,0.18
1,223,0.001,0.003,0.178
1,224,0.001,0.003,0.182
1,39,0.002,0.006,0.097
1,40,0.004,0.009,0.093
1,41,0.002,0.006,0.097
1,42,0.001,0.003,0.106
1,43,0.002,0.005,0.1
1,44,0.001,0.002,0.107
1,45,0.001,0.002,0.111
1,46,0.001,0.003,0.106
1,47,0.004,0.009,0.094
1,48,0.001,0.004,0.102
1,49,0.003,0.006,0.098
1,50,0.003,0.007,0.096
1,51,0.004,0.009,0.094
1,52,0.001,0.004,0.104
1,53,0.003,0.007,0.096
1,54,0.002,0.005,0.1
1,55,0.002,0.004,0.103
1,56,0.001,0.004,0.104
1,57,0.002,0.005,0.102
1,58,0.001,0.003,0.106
1,59,0.002,0.005,0.102
1,60,0.004,0.009,0.095
1,61,0.001,0.004,0.105
1,62,0.004,0.009,0.096
1,63,0.004,0.009,0.095
1,64,0.004,0.01,0.094
1,65,0.013,0.026,0.083
1,66,0.003,0.008,0.098
1,67,0.009,0.019,0.087
1,68,0.006,0.013,0.092
1,69,0.005,0.011,0.094
1,70,0.004,0.01,0.097
1,71,0.003,0.007,0.1
1,72,0.004,0.009,0.098
1,73,0.005,0.011,0.096
1,74,0.003,0.007,0.102
1,75,0.002,0.005,0.106
1,76,0.002,0.006,0.105
1,77,0.005,0.011,0.097
1,78,0.001,0.003,0.113
1,79,0.005,0.011,0.097
1,80,0.003,0.008,0.101
1,81,0.002,0.005,0.108
1,82,0.002,0.006,0.107
1,83,0.0,0.001,0.124
1,84,0.001,0.002,0.119
1,85,0.0,0.001,0.128
1,86,0.001,0.002,0.123
1,87,0.0,0.001,0.127
1,88,0.001,0.004,0.113
1,89,0.001,0.002,0.122
1,90,0.001,0.002,0.12
1,91,0.002,0.005,0.11
1,92,0.001,0.002,0.124
1,93,0.001,0.003,0.119
1,94,0.002,0.004,0.113
1,95,0.002,0.005,0.111
1,96,0.003,0.006,0.109
1,97,0.002,0.005,0.111
1,98,0.003,0.008,0.106
1,99,0.003,0.008,0.107
10,10,0.011,0.023,0.081
10,100,0.0,0.0,0.142
10,101,0.0,0.001,0.138
10,102,0.0,0.001,0.129
10,103,0.0,0.001,0.138
10,104,0.0,0.001,0.137
10,105,0.0,0.0,0.145
10,106,0.0,0.001,0.136
10,107,0.0,0.001,0.139
10,108,0.001,0.002,0.127
10,109,0.001,0.004,0.119
10,11,0.006,0.013,0.087
10,110,0.0,0.001,0.135
10,111,0.0,0.001,0.142
10,112,0.0,0.001,0.14
10,113,0.0,0.001,0.139
10,114,0.0,0.0,0.153
10,115,0.0,0.0,0.156
10,116,0.0,0.001,0.142
10,117,0.0,0.001,0.142
10,118,0.0,0.001,0.14
10,119,0.0,0.001,0.139
10,12,0.003,0.008,0.094
10,120,0.0,0.001,0.142
10,121,0.0,0.001,0.144
10,122,0.0,0.001,0.143
10,123,0.0,0.001,0.137
10,124,0.0,0.001,0.145
10,125,0.0,0.001,0.141
10,126,0.0,0.001,0.145
10,127,0.0,0.0,0.149
10,128,0.0,0.0,0.151
10,129,0.0,0.001,0.145
10,13,0.003,0.008,0.092
10,130,0.0,0.0,0.149
