slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.019,0.036,-0.087
1,101,0.026,0.047,-0.083
1,102,0.022,0.041,-0.086
1,103,0.03,0.052,-0.082
1,104,0.051,0.084,-0.074
1,105,0.039,0.067,-0.078
1,106,0.063,0.1,-0.071
1,107,0.028,0.049,-0.084
1,108,0.036,0.062,-0.08
1,109,0.057,0.092,-0.073
1,110,0.089,0.135,-0.065
1,111,0.094,0.142,-0.064
1,112,0.093,0.14,-0.065
1,113,0.111,0.163,-0.062
1,114,0.057,0.092,-0.074
1,115,0.084,0.128,-0.067
1,116,0.107,0.158,-0.063
1,117,0.098,0.147,-0.065
1,118,0.066,0.104,-0.072
1,119,0.074,0.116,-0.07
1,120,0.138,0.196,-0.059
1,121,0.167,0.231,-0.055
1,122,0.152,0.213,-0.057
1,123,0.121,0.176,-0.061
1,124,0.124,0.179,-0.061
1,125,0.063,0.1,-0.074
1,126,0.076,0.118,-0.071
1,127,0.101,0.15,-0.065
1,128,0.087,0.132,-0.069
1,129,0.069,0.108,-0.073
1,130,0.085,0.129,-0.069
1,131,0.099,0.148,-0.066
1,132,0.126,0.182,-0.061
1,133,0.092,0.139,-0.068
1,134,0.068,0.107,-0.074
1,135,0.097,0.145,-0.067
1,136,0.089,0.135,-0.069
1,137,0.089,0.135,-0.069
1,138,0.119,0.173,-0.064
1,139,0.105,0.155,-0.066
1,140,0.078,0.121,-0.072
1,141,0.093,0.141,-0.069
1,142,0.116,0.169,-0.065
1,143,0.192,0.26,-0.054
1,144,0.149,0.21,-0.059
1,145,0.102,0.152,-0.068
1,146,0.212,0.283,-0.052
1,147,0.256,0.332,-0.047
1,148,0.171,0.236,-0.057
1,149,0.156,0.218,-0.059
1,150,0.178,0.244,-0.056
1,151,0.179,0.245,-0.056
1,152,0.115,0.168,-0.066
1,153,0.124,0.179,-0.065
1,154,0.116,0.169,-0.066
1,155,0.112,0.164,-0.067
1,156,0.097,0.145,-0.07
1,157,0.13,0.186,-0.064
1,158,0.106,0.157,-0.069
1,159,0.081,0.124,-0.075
1,160,0.07,0.109,-0.078
1,161,0.097,0.145,-0.072
1,162,0.073,0.114,-0.077
1,163,0.089,0.135,-0.074
1,164,0.082,0.125,-0.076
1,165,0.103,0.153,-0.071
1,166,0.155,0.217,-0.062
1,167,0.141,0.199,-0.065
1,168,0.184,0.251,-0.059
1,169,0.168,0.232,-0.061
1,170,0.143,0.202,-0.066
1,171,0.155,0.217,-0.064
1,172,0.076,0.118,-0.08
1,173,0.12,0.174,-0.071
1,174,0.131,0.188,-0.069
1,175,0.086,0.13,-0.079
1,176,0.102,0.151,-0.075
1,177,0.072,0.113,-0.083
1,178,0.057,0.091,-0.089
1,179,0.09,0.136,-0.079
1,180,0.091,0.138,-0.079
1,181,0.051,0.084,-0.092
1,182,0.078,0.12,-0.083
1,183,0.065,0.103,-0.088
1,184,0.078,0.12,-0.084
1,185,0.114,0.167,-0.076
1,186,0.12,0.175,-0.075
1,187,0.107,0.158,-0.079
1,188,0.176,0.242,-0.066
1,189,0.121,0.176,-0.076
1,190,0.129,0.185,-0.075
1,191,0.083,0.127,-0.086
1,192,0.183,0.25,-0.066
1,193,0.177,0.243,-0.068
1,194,0.162,0.225,-0.07
1,195,0.139,0.197,-0.075
1,196,0.173,0.238,-0.069
1,197,0.181,0.248,-0.068
1,198,0.146,0.206,-0.075
1,199,0.182,0.249,-0.069
1,200,0.14,0.199,-0.076
1,201,0.283,0.361,-0.056
1,202,0.255,0.331,-0.059
1,203,0.209,0.28,-0.066
1,204,0.24,0.315,-0.062
1,205,0.2,0.27,-0.068
1,206,0.3,0.379,-0.055
1,207,0.285,0.364,-0.057
1,208,0.199,0.268,-0.069
1,209,0.23,0.304,-0.064
1,210,0.217,0.289,-0.066
1,211,0.284,0.362,-0.058
1,212,0.276,0.354,-0.059
1,213,0.338,0.42,-0.052
1,214,0.303,0.383,-0.056
1,215,0.287,0.366,-0.059
1,216,0.419,0.502,-0.045
1,217,0.485,0.567,-0.039
1,218,0.368,0.451,-0.05
1,219,0.315,0.396,-0.056
1,220,0.494,0.575,-0.038
1,221,0.425,0.508,-0.045
1,222,0.587,0.662,-0.031
1,223,0.593,0.668,-0.03
1,224,0.635,0.705,-0.027
1,39,0.003,0.008,-0.097
1,40,0.001,0.003,-0.107
1,41,0.003,0.008,-0.097
1,42,0.0,0.002,-0.115
1,43,0.005,0.011,-0.094
1,44,0.005,0.012,-0.092
1,45,0.007,0.015,-0.09
1,46,0.003,0.008,-0.097
1,47,0.004,0.009,-0.096
1,48,0.006,0.014,-0.091
1,49,0.002,0.005,-0.104
1,50,0.005,0.011,-0.094
1,51,0.01,0.021,-0.086
1,52,0.006,0.014,-0.091
1,53,0.002,0.006,-0.101
1,54,0.011,0.023,-0.085
1,55,0.007,0.016,-0.09
1,56,0.006,0.013,-0.093
1,57,0.008,0.017,-0.09
1,58,0.011,0.023,-0.086
1,59,0.003,0.007,-0.101
1,60,0.003,0.007,-0.101
1,61,0.003,0.008,-0.1
1,62,0.002,0.005,-0.107
1,63,0.002,0.006,-0.104
1,64,0.005,0.011,-0.097
1,65,0.003,0.007,-0.102
1,66,0.002,0.004,-0.109
1,67,0.0,0.001,-0.129
1,68,0.001,0.002,-0.117
1,69,0.001,0.004,-0.11
1,70,0.002,0.004,-0.109
1,71,0.002,0.006,-0.107
1,72,0.004,0.01,-0.1
1,73,0.002,0.005,-0.108
1,74,0.003,0.007,-0.105
1,75,0.003,0.008,-0.104
1,76,0.004,0.01,-0.101
1,77,0.018,0.034,-0.084
1,78,0.038,0.064,-0.074
1,79,0.011,0.022,-0.091
1,80,0.021,0.039,-0.082
1,81,0.037,0.064,-0.075
1,82,0.021,0.039,-0.083
1,83,0.014,0.028,-0.088
1,84,0.013,0.025,-0.09
1,85,0.034,0.059,-0.077
1,86,0.033,0.057,-0.078
1,87,0.014,0.027,-0.09
1,88,0.008,0.017,-0.097
1,89,0.016,0.03,-0.088
1,90,0.01,0.02,-0.094
1,91,0.011,0.023,-0.093
1,92,0.018,0.035,-0.087
1,93,0.007,0.015,-0.1
1,94,0.021,0.039,-0.085
1,95,0.014,0.027,-0.091
1,96,0.006,0.013,-0.102
1,97,0.019,0.035,-0.087
1,98,0.025,0.046,-0.083
1,99,0.034,0.059,-0.079
10,10,0.001,0.004,-0.105
10,100,0.159,0.222,-0.053
10,101,0.143,0.203,-0.055
10,102,0.069,0.109,-0.068
10,103,0.103,0.153,-0.061
10,104,0.145,0.204,-0.055
10,105,0.057,0.091,-0.072
10,106,0.077,0.119,-0.067
10,107,0.135,0.193,-0.057
10,108,0.101,0.15,-0.062
10,109,0.103,0.153,-0.062
10,11,0.001,0.004,-0.105
10,110,0.085,0.13,-0.066
10,111,0.054,0.087,-0.074
10,112,0.081,0.125,-0.067
10,113,0.074,0.115,-0.069
10,114,0.099,0.147,-0.064
10,115,0.197,0.266,-0.05
10,116,0.155,0.217,-0.055
10,117,0.053,0.086,-0.075
10,118,0.099,0.148,-0.064
10,119,0.063,0.1,-0.072
10,12,0.002,0.004,-0.103
10,120,0.129,0.186,-0.059
10,121,0.059,0.094,-0.074
10,122,0.048,0.079,-0.077
10,123,0.049,0.08,-0.077
10,124,0.039,0.067,-0.081
10,125,0.037,0.063,-0.082
10,126,0.062,0.098,-0.074
10,127,0.078,0.12,-0.07
10,128,0.031,0.054,-0.085
10,129,0.054,0.088,-0.076
10,13,0.003,0.007,-0.097
10,130,0.061,0.098,-0.074
10,131,0.057,0.092,-0.076
10,132,0.053,0.087,-0.077
10,133,0.037,0.063,-0.083
10,134,0.034,0.059,-0.085
10,135,0.033,0.057,-0.086
10,136,0.047,0.078,-0.08
10,137,0.04,0.067,-0.082
10,138,0.047,0.078,-0.08
10,139,0.034,0.06,-0.085
10,14,0.001,0.002,-0.107
10,140,0.027,0.048,-0.089
10,141,0.061,0.098,-0.076
10,142,0.072,0.112,-0.073
10,143,0.078,0.121,-0.071
10,144,0.046,0.077,-0.081
10,145,0.034,0.059,-0.086
10,146,0.076,0.118,-0.072
10,147,0.04,0.067,-0.084
10,148,0.043,0.072,-0.082
10,149,0.041,0.07,-0.083
10,15,0.005,0.011,-0.091
10,150,0.045,0.076,-0.082
10,151,0.055,0.089,-0.079
10,152,0.06,0.096,-0.077
10,153,0.061,0.097,-0.077
10,154,0.096,0.144,-0.068
10,155,0.124,0.179,-0.063
10,156,0.128,0.185,-0.062
10,157,0.197,0.266,-0.053
10,158,0.186,0.253,-0.054
10,159,0.208,0.279,-0.052
10,16,0.001,0.004,-0.103
10,160,0.222,0.295,-0.05
10,161,0.399,0.483,-0.035
10,162,0.222,0.294,-0.05
10,163,0.154,0.216,-0.059
10,164,0.223,0.295,-0.05
10,165,0.133,0.19,-0.062
10,166,0.239,0.313,-0.049
10,167,0.367,0.449,-0.037
10,168,0.209,0.28,-0.052
10,169,0.214,0.286,-0.052
10,17,0.004,0.01,-0.092
10,170,0.269,0.346,-0.046
10,171,0.4,0.483,-0.035
10,172,0.316,0.397,-0.042
10,173,0.296,0.376,-0.044
10,174,0.24,0.314,-0.049
10,175,0.232,0.306,-0.05
10,176,0.324,0.405,-0.042
10,177,0.203,0.273,-0.054
10,178,0.254,0.33,-0.048
10,179,0.224,0.296,-0.052
10,18,0.005,0.012,-0.089
10,180,0.244,0.319,-0.05
10,181,0.236,0.31,-0.051
10,182,0.318,0.398,-0.043
10,183,0.281,0.359,-0.047
10,184,0.24,0.314,-0.051
10,185,0.202,0.271,-0.056
10,186,0.193,0.261,-0.057
10,187,0.176,0.242,-0.059
10,188,0.2,0.27,-0.056
10,189,0.16,0.222,-0.063
10,19,0.006,0.013,-0.088
10,190,0.104,0.155,-0.073
10,191,0.136,0.194,-0.067
10,192,0.154,0.215,-0.064
10,193,0.161,0.223,-0.064
10,194,0.135,0.192,-0.068
10,195,0.265,0.342,-0.051
10,196,0.191,0.259,-0.061
10,197,0.166,0.23,-0.065
10,198,0.108,0.16,-0.075
10,199,0.176,0.241,-0.064
10,20,0.001,0.003,-0.106
10,200,0.179,0.245,-0.064
10,201,0.122,0.176,-0.074
10,202,0.202,0.272,-0.062
10,203,0.294,0.374,-0.051
10,204,0.327,0.408,-0.048
10,205,0.313,0.394,-0.05
10,206,0.4,0.483,-0.042
10,207,0.43,0.513,-0.039
10,208,0.455,0.538,-0.038
10,209,0.463,0.546,-0.037
10,21,0.005,0.011,-0.091
10,210,0.542,0.621,-0.031
10,211,0.491,0.572,-0.036
10,212,0.436,0.519,-0.04
10,213,0.581,0.656,-0.029
10,214,0.589,0.664,-0.028
10,215,0.422,0.505,-0.043
10,216,0.463,0.546,-0.039
10,217,0.52,0.6,-0.035
10,218,0.673,0.738,-0.023
10,219,0.483,0.565,-0.038
10,22,0.007,0.015,-0.086
10,220,0.499,0.58,-0.037
10,221,0.513,0.594,-0.036
10,222,0.497,0.578,-0.038
10,223,0.398,0.481,-0.047
10,224,0.396,0.479,-0.048
10,225,0.364,0.446,-0.052
10,226,0.417,0.501,-0.046
10,227,0.273,0.351,-0.063
10,228,0.265,0.342,-0.064
10,229,0.267,0.344,-0.064
10,23,0.001,0.004,-0.103
10,230,0.26,0.337,-0.066
10,231,0.297,0.377,-0.061
10,232,0.21,0.281,-0.074
10,233,0.268,0.346,-0.065
10,234,0.25,0.326,-0.068
10,235,0.403,0.487,-0.05
10,236,0.297,0.377,-0.062
10,237,0.232,0.306,-0.072
10,238,0.503,0.584,-0.04
10,239,0.379,0.462,-0.053
10,24,0.003,0.007,-0.095
10,240,0.446,0.529,-0.046
10,241,0.541,0.619,-0.037
10,242,0.51,0.59,-0.04
10,243,0.481,0.563,-0.043
10,244,0.509,0.589,-0.041
10,245,0.456,0.538,-0.046
10,246,0.448,0.53,-0.047
10,247,0.514,0.594,-0.041
10,248,0.455,0.538,-0.047
10,249,0.469,0.552,-0.046
10,25,0.003,0.007,-0.096
10,250,0.609,0.682,-0.033
10,251,0.534,0.613,-0.04
10,26,0.005,0.012,-0.09
10,27,0.005,0.01,-0.091
10,28,0.001,0.003,-0.104
10,29,0.003,0.007,-0.095
10,30,0.005,0.011,-0.09
10,31,0.003,0.007,-0.095
10,32,0.004,0.009,-0.093
10,33,0.002,0.005,-0.099
10,34,0.004,0.01,-0.092
10,35,0.003,0.007,-0.095
10,36,0.002,0.005,-0.099
10,37,0.004,0.009,-0.094
10,38,0.003,0.007,-0.096
10,39,0.0,0.0,-0.124
10,40,0.001,0.003,-0.104
10,41,0.005,0.011,-0.091
10,42,0.0,0.001,-0.122
10,43,0.0,0.001,-0.117
10,44,0.0,0.001,-0.115
10,45,0.001,0.003,-0.105
10,46,0.0,0.001,-0.121
10,47,0.0,0.002,-0.114
10,48,0.0,0.001,-0.119
10,49,0.0,0.001,-0.118
10,50,0.001,0.002,-0.111
10,51,0.001,0.002,-0.11
10,52,0.0,0.001,-0.118
10,53,0.001,0.004,-0.106
10,54,0.003,0.008,-0.097
10,55,0.002,0.004,-0.105
10,56,0.002,0.006,-0.101
10,57,0.001,0.003,-0.108
10,58,0.0,0.001,-0.119
10,59,0.002,0.005,-0.103
10,60,0.003,0.008,-0.098
10,61,0.002,0.005,-0.104
10,62,0.004,0.009,-0.098
10,63,0.012,0.024,-0.085
10,64,0.01,0.022,-0.087
10,65,0.009,0.019,-0.088
10,66,0.017,0.032,-0.081
10,67,0.026,0.048,-0.075
10,68,0.013,0.026,-0.085
10,69,0.024,0.044,-0.077
10,7,0.002,0.005,-0.106
10,70,0.014,0.028,-0.084
10,71,0.037,0.064,-0.072
10,72,0.028,0.051,-0.076
10,73,0.04,0.068,-0.071
10,74,0.026,0.047,-0.077
10,75,0.038,0.065,-0.072
10,76,0.014,0.027,-0.086
10,77,0.023,0.043,-0.08
10,78,0.023,0.042,-0.08
10,79,0.035,0.06,-0.075
10,8,0.003,0.007,-0.101
10,80,0.013,0.026,-0.088
10,81,0.014,0.027,-0.087
10,82,0.019,0.036,-0.083
10,83,0.024,0.043,-0.081
10,84,0.052,0.085,-0.07
10,85,0.033,0.058,-0.076
10,86,0.033,0.058,-0.077
10,87,0.035,0.06,-0.076
10,88,0.021,0.04,-0.084
10,89,0.035,0.061,-0.077
10,9,0.002,0.006,-0.102
10,90,0.051,0.083,-0.071
10,91,0.057,0.092,-0.07
10,92,0.066,0.105,-0.067
10,93,0.063,0.1,-0.068
10,94,0.055,0.09,-0.071
10,95,0.106,0.156,-0.06
10,96,0.073,0.114,-0.066
10,97,0.08,0.124,-0.065
10,98,0.097,0.145,-0.062
10,99,0.04,0.068,-0.077
100,10,0.019,0.036,-0.083
100,100,0.191,0.259,-0.058
100,101,0.132,0.189,-0.068
100,102,0.179,0.245,-0.06
100,103,0.143,0.202,-0.066
100,104,0.216,0.288,-0.056
100,105,0.254,0.33,-0.051
100,106,0.188,0.256,-0.06
100,107,0.216,0.287,-0.056
100,108,0.262,0.339,-0.051
100,109,0.174,0.24,-0.062
100,11,0.034,0.059,-0.074
100,110,0.125,0.18,-0.07
100,111,0.227,0.3,-0.055
100,112,0.276,0.354,-0.05
100,113,0.232,0.306,-0.055
100,114,0.257,0.334,-0.052
100,115,0.267,0.344,-0.051
100,116,0.182,0.248,-0.062
100,117,0.105,0.155,-0.075
100,118,0.097,0.145,-0.077
100,119,0.076,0.118,-0.082
100,12,0.021,0.038,-0.08
100,120,0.083,0.127,-0.081
100,121,0.125,0.181,-0.072
100,122,0.153,0.215,-0.067
100,123,0.116,0.169,-0.074
100,124,0.143,0.202,-0.069
100,125,0.112,0.164,-0.074
100,126,0.132,0.189,-0.071
100,127,0.128,0.184,-0.071
100,128,0.107,0.158,-0.076
100,129,0.082,0.125,-0.082
100,13,0.031,0.055,-0.074
100,130,0.115,0.168,-0.074
100,131,0.143,0.203,-0.069
100,132,0.169,0.234,-0.065
100,133,0.108,0.159,-0.076
100,134,0.089,0.135,-0.08
100,135,0.124,0.179,-0.072
100,136,0.127,0.183,-0.072
100,137,0.101,0.151,-0.077
100,138,0.063,0.1,-0.088
100,139,0.049,0.081,-0.093
100,14,0.016,0.031,-0.082
100,140,0.05,0.082,-0.092
100,141,0.081,0.124,-0.082
100,142,0.098,0.146,-0.078
100,143,0.087,0.132,-0.081
100,144,0.099,0.147,-0.078
100,145,0.12,0.174,-0.073
100,146,0.073,0.113,-0.085
100,147,0.055,0.089,-0.091
100,148,0.029,0.051,-0.103
100,149,0.074,0.116,-0.084
100,15,0.024,0.044,-0.077
100,150,0.08,0.123,-0.083
100,151,0.066,0.105,-0.087
100,152,0.074,0.116,-0.084
100,153,0.043,0.072,-0.096
100,154,0.052,0.085,-0.092
100,155,0.051,0.084,-0.092
100,156,0.044,0.074,-0.095
100,157,0.044,0.073,-0.095
100,158,0.071,0.111,-0.085
100,159,0.066,0.105,-0.087
100,16,0.016,0.03,-0.083
100,160,0.062,0.098,-0.088
100,161,0.08,0.122,-0.082
100,162,0.055,0.089,-0.09
100,163,0.079,0.122,-0.082
100,164,0.052,0.085,-0.091
100,165,0.035,0.06,-0.098
100,166,0.036,0.062,-0.098
100,167,0.066,0.104,-0.086
100,168,0.089,0.135,-0.079
100,169,0.149,0.21,-0.067
100,17,0.038,0.064,-0.071
100,170,0.126,0.181,-0.071
100,171,0.187,0.254,-0.061
100,172,0.137,0.194,-0.069
100,173,0.128,0.184,-0.07
100,174,0.181,0.248,-0.062
100,175,0.181,0.247,-0.062
100,176,0.183,0.25,-0.061
100,177,0.213,0.284,-0.057
100,178,0.27,0.348,-0.051
100,179,0.33,0.411,-0.045
100,18,0.013,0.026,-0.085
100,180,0.322,0.403,-0.045
100,181,0.241,0.315,-0.054
100,182,0.223,0.296,-0.056
100,183,0.362,0.444,-0.042
100,184,0.411,0.494,-0.038
100,185,0.605,0.678,-0.024
100,186,0.499,0.581,-0.031
100,187,0.515,0.596,-0.03
100,188,0.411,0.494,-0.038
100,189,0.44,0.523,-0.035
100,19,0.012,0.024,-0.085
100,190,0.695,0.758,-0.018
100,191,0.638,0.708,-0.022
100,192,0.633,0.703,-0.022
100,193,0.465,0.547,-0.034
100,194,0.655,0.722,-0.021
100,195,0.672,0.738,-0.02
100,196,0.838,0.876,-0.01
100,197,0.835,0.874,-0.01
100,198,0.901,0.925,-0.006
100,199,0.826,0.866,-0.011
100,20,0.031,0.055,-0.073
100,200,0.846,0.882,-0.009
100,201,0.812,0.854,-0.012
100,202,0.972,0.98,-0.002
100,203,0.872,0.903,-0.008
100,204,0.918,0.939,-0.005
100,205,0.951,0.964,-0.003
100,206,0.863,0.896,-0.009
100,207,0.864,0.896,-0.009
100,208,0.989,0.992,-0.001
100,209,0.901,0.925,-0.006
100,21,0.017,0.033,-0.081
100,210,0.843,0.88,-0.01
100,211,0.997,0.998,-0.0
100,212,0.911,0.933,-0.006
100,213,0.924,0.943,-0.005
100,214,0.832,0.871,-0.011
100,215,0.822,0.863,-0.012
100,216,0.675,0.74,-0.023
100,217,0.77,0.821,-0.016
100,218,0.902,0.926,-0.007
100,219,0.699,0.761,-0.022
100,22,0.018,0.034,-0.081
100,220,0.887,0.914,-0.008
100,221,0.978,0.984,-0.002
100,222,0.889,0.916,-0.008
100,223,0.89,0.917,-0.008
100,224,0.66,0.727,-0.026
100,225,0.927,0.945,-0.005
100,226,0.966,0.975,0.003
100,227,0.913,0.935,-0.007
100,228,0.923,0.942,0.006
100,229,0.853,0.888,-0.011
100,23,0.01,0.021,-0.087
100,230,0.78,0.828,-0.017
100,231,0.941,0.956,-0.005
100,232,0.86,0.893,-0.011
100,233,0.95,0.963,-0.004
100,234,0.859,0.893,-0.011
100,235,0.793,0.839,-0.016
100,236,0.835,0.874,-0.013
100,237,0.752,0.806,-0.02
100,238,0.779,0.828,-0.018
100,239,0.807,0.851,-0.015
100,24,0.031,0.055,-0.073
100,240,0.81,0.853,-0.015
100,241,0.985,0.989,-0.001
100,242,0.965,0.974,-0.003
100,243,0.99,0.993,-0.001
100,244,0.884,0.912,-0.009
100,245,0.9,0.925,-0.008
100,246,0.974,0.98,0.002
100,247,0.89,0.917,0.009
100,248,0.981,0.986,-0.002
100,249,0.921,0.941,-0.006
100,25,0.017,0.033,-0.081
100,250,0.959,0.97,0.003
100,251,0.973,0.98,0.002
100,26,0.019,0.036,-0.08
100,27,0.008,0.017,-0.091
100,28,0.011,0.022,-0.087
100,29,0.049,0.081,-0.067
100,30,0.025,0.045,-0.076
100,31,0.027,0.048,-0.076
100,32,0.014,0.028,-0.084
100,33,0.012,0.024,-0.086
100,34,0.008,0.018,-0.091
100,35,0.009,0.019,-0.09
100,36,0.02,0.038,-0.08
100,37,0.046,0.076,-0.069
100,38,0.018,0.034,-0.082
100,39,0.03,0.053,-0.076
100,40,0.025,0.046,-0.078
100,41,0.035,0.061,-0.074
100,42,0.017,0.032,-0.084
100,43,0.045,0.076,-0.071
100,44,0.046,0.077,-0.071
100,45,0.021,0.039,-0.082
100,46,0.036,0.061,-0.075
100,47,0.038,0.065,-0.075
100,48,0.068,0.107,-0.066
100,49,0.105,0.155,-0.059
100,50,0.045,0.075,-0.073
100,51,0.042,0.071,-0.074
100,52,0.052,0.085,-0.071
100,53,0.036,0.062,-0.077
100,54,0.068,0.107,-0.067
100,55,0.045,0.076,-0.074
100,56,0.196,0.265,-0.048
100,57,0.085,0.13,-0.064
100,58,0.074,0.115,-0.067
100,59,0.08,0.122,-0.066
100,60,0.131,0.188,-0.057
100,61,0.129,0.185,-0.058
100,62,0.06,0.096,-0.072
100,63,0.087,0.132,-0.066
100,64,0.071,0.112,-0.07
100,65,0.183,0.25,-0.052
100,66,0.186,0.254,-0.052
100,67,0.14,0.198,-0.058
100,68,0.086,0.13,-0.068
100,69,0.058,0.093,-0.075
100,7,0.116,0.169,-0.057
100,70,0.097,0.146,-0.066
100,71,0.072,0.113,-0.072
100,72,0.062,0.098,-0.075
100,73,0.054,0.088,-0.078
100,74,0.045,0.076,-0.081
100,75,0.118,0.172,-0.064
100,76,0.057,0.092,-0.078
100,77,0.106,0.156,-0.066
100,78,0.089,0.135,-0.07
100,79,0.116,0.17,-0.065
100,8,0.047,0.078,-0.072
100,80,0.168,0.232,-0.058
100,81,0.128,0.184,-0.064
100,82,0.133,0.19,-0.063
100,83,0.118,0.172,-0.066
100,84,0.136,0.194,-0.063
100,85,0.094,0.141,-0.071
100,86,0.074,0.116,-0.076
100,87,0.066,0.104,-0.079
100,88,0.124,0.179,-0.066
100,89,0.154,0.216,-0.062
100,9,0.024,0.043,-0.081
100,90,0.156,0.218,-0.062
100,91,0.103,0.152,-0.071
100,92,0.151,0.212,-0.063
100,93,0.119,0.173,-0.068
100,94,0.195,0.264,-0.057
100,95,0.148,0.209,-0.064
100,96,0.154,0.215,-0.063
100,97,0.176,0.241,-0.06
100,98,0.121,0.175,-0.069
100,99,0.188,0.255,-0.059
101,10,0.069,0.108,-0.064
101,100,0.168,0.232,-0.061
101,101,0.159,0.221,-0.063
101,102,0.21,0.281,-0.056
101,103,0.181,0.248,-0.06
101,104,0.203,0.273,-0.057
101,105,0.204,0.274,-0.057
101,106,0.124,0.179,-0.07
101,107,0.09,0.136,-0.077
101,108,0.256,0.332,-0.052
101,109,0.225,0.298,-0.055
101,11,0.052,0.085,-0.068
101,110,0.18,0.247,-0.061
101,111,0.113,0.165,-0.072
101,112,0.117,0.17,-0.072
101,113,0.177,0.242,-0.062
101,114,0.187,0.255,-0.06
101,115,0.137,0.195,-0.068
101,116,0.166,0.23,-0.064
101,117,0.198,0.268,-0.059
101,118,0.193,0.261,-0.06
101,119,0.167,0.231,-0.064
101,12,0.07,0.11,-0.063
101,120,0.16,0.222,-0.065
101,121,0.19,0.257,-0.061
101,122,0.104,0.154,-0.075
101,123,0.137,0.195,-0.069
101,124,0.169,0.233,-0.064
101,125,0.133,0.19,-0.07
101,126,0.157,0.22,-0.066
101,127,0.152,0.213,-0.067
101,128,0.097,0.145,-0.078
101,129,0.143,0.202,-0.069
101,13,0.033,0.058,-0.073
101,130,0.18,0.246,-0.063
101,131,0.17,0.235,-0.064
101,132,0.128,0.183,-0.071
101,133,0.113,0.165,-0.074
101,134,0.106,0.156,-0.076
101,135,0.09,0.136,-0.079
101,136,0.087,0.133,-0.08
101,137,0.105,0.156,-0.076
101,138,0.076,0.118,-0.083
101,139,0.083,0.127,-0.081
101,14,0.011,0.022,-0.087
101,140,0.088,0.133,-0.08
101,141,0.11,0.161,-0.075
101,142,0.071,0.111,-0.085
101,143,0.051,0.084,-0.091
101,144,0.031,0.054,-0.101
101,145,0.03,0.052,-0.102
101,146,0.046,0.077,-0.093
101,147,0.029,0.052,-0.102
101,148,0.041,0.069,-0.096
101,149,0.028,0.05,-0.103
101,15,0.021,0.039,-0.079
101,150,0.041,0.07,-0.096
101,151,0.052,0.085,-0.091
101,152,0.03,0.053,-0.102
101,153,0.048,0.08,-0.093
101,154,0.061,0.098,-0.088
101,155,0.043,0.073,-0.095
101,156,0.029,0.052,-0.102
101,157,0.052,0.085,-0.091
101,158,0.085,0.129,-0.081
101,159,0.054,0.088,-0.09
101,16,0.044,0.074,-0.068
101,160,0.052,0.085,-0.091
101,161,0.053,0.087,-0.09
101,162,0.027,0.049,-0.103
101,163,0.063,0.1,-0.087
101,164,0.075,0.117,-0.083
101,165,0.05,0.083,-0.091
101,166,0.057,0.092,-0.089
101,167,0.112,0.165,-0.074
101,168,0.077,0.119,-0.082
101,169,0.117,0.17,-0.073
101,17,0.021,0.039,-0.078
101,170,0.111,0.163,-0.074
101,171,0.17,0.234,-0.064
101,172,0.132,0.189,-0.07
101,173,0.132,0.189,-0.069
101,174,0.15,0.211,-0.066
101,175,0.209,0.279,-0.058
101,176,0.184,0.251,-0.061
101,177,0.172,0.237,-0.062
101,178,0.223,0.295,-0.056
101,179,0.143,0.202,-0.067
101,18,0.009,0.02,-0.088
101,180,0.129,0.185,-0.07
101,181,0.139,0.198,-0.068
101,182,0.207,0.277,-0.058
101,183,0.267,0.344,-0.051
101,184,0.191,0.259,-0.06
101,185,0.232,0.306,-0.055
101,186,0.31,0.39,-0.047
101,187,0.274,0.351,-0.05
101,188,0.214,0.285,-0.057
101,189,0.289,0.368,-0.049
101,19,0.032,0.056,-0.073
101,190,0.351,0.433,-0.043
101,191,0.391,0.474,-0.04
101,192,0.219,0.291,-0.057
101,193,0.201,0.271,-0.06
101,194,0.242,0.317,-0.055
101,195,0.178,0.244,-0.063
101,196,0.304,0.383,-0.049
101,197,0.276,0.353,-0.052
101,198,0.277,0.355,-0.052
101,199,0.342,0.424,-0.046
101,20,0.072,0.113,-0.061
101,200,0.45,0.533,-0.037
101,201,0.364,0.447,-0.044
101,202,0.337,0.419,-0.047
101,203,0.496,0.578,-0.034
101,204,0.602,0.675,-0.026
101,205,0.462,0.545,-0.037
101,206,0.584,0.659,-0.028
101,207,0.548,0.626,-0.031
101,208,0.534,0.613,-0.032
101,209,0.649,0.718,-0.024
101,21,0.02,0.037,-0.079
101,210,0.494,0.575,-0.036
101,211,0.808,0.851,-0.013
101,212,0.703,0.764,-0.02
101,213,0.646,0.715,-0.025
101,214,0.722,0.78,-0.019
101,215,0.692,0.755,-0.022
101,216,0.723,0.781,-0.02
101,217,0.854,0.889,-0.01
101,218,0.898,0.923,-0.007
101,219,0.85,0.885,-0.011
101,22,0.035,0.061,-0.071
101,220,0.732,0.789,-0.02
101,221,0.805,0.849,-0.014
101,222,0.625,0.696,-0.028
101,223,0.735,0.791,-0.02
101,224,0.961,0.971,-0.003
101,225,0.747,0.801,-0.019
101,226,0.837,0.875,-0.012
101,227,0.625,0.696,-0.03
101,228,0.686,0.749,-0.025
101,229,0.605,0.678,-0.032
101,23,0.031,0.055,-0.073
101,230,0.822,0.863,-0.014
101,231,0.806,0.85,-0.015
